"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30076","Forgot Password with blank input","firefox","2026-03-25","broken","2026-03-25","Forgot Password Module","ForgetPassword.spec.js","",""
"","30087","Login with blank username and password","firefox","2026-03-25","broken","2026-03-25","Login Module","Loginpage.spec.js","",""
"","30079","Valid login","firefox","2026-03-25","broken","2026-03-25","Login Module","Loginpage.spec.js","",""
"","30053","Login with invalid password","webkit","2026-03-25","broken","2026-03-25","Login Module","Loginpage.spec.js","",""
"","3929","Forgot Password with blank input","chromium","2026-03-25","passed","2026-03-25","Forgot Password Module","ForgetPassword.spec.js","",""
"","30084","Forgot Password with valid username","firefox","2026-03-25","broken","2026-03-25","Forgot Password Module","ForgetPassword.spec.js","",""
"","30076","Forgot Username - blank username and mobile","firefox","2026-03-25","broken","2026-03-25","Forgot Password Module","ForgetPassword.spec.js","",""
"","3611","Forgot Username - blank username and mobile","chromium","2026-03-25","passed","2026-03-25","Forgot Password Module","ForgetPassword.spec.js","",""
"","10631","Forgot Password with valid username","chromium","2026-03-25","failed","2026-03-25","Forgot Password Module","ForgetPassword.spec.js","",""
"","30056","Forgot Username - blank username and mobile","webkit","2026-03-25","broken","2026-03-25","Forgot Password Module","ForgetPassword.spec.js","",""
"","30059","Valid login","webkit","2026-03-25","broken","2026-03-25","Login Module","Loginpage.spec.js","",""
"","1324","Forgot Password with invalid username","chromium","2026-03-25","failed","2026-03-25","Forgot Password Module","ForgetPassword.spec.js","",""
"","30062","Forgot Password with blank input","webkit","2026-03-25","broken","2026-03-25","Forgot Password Module","ForgetPassword.spec.js","",""
"","30060","Forgot Password with valid username","webkit","2026-03-25","broken","2026-03-25","Forgot Password Module","ForgetPassword.spec.js","",""
"","35028","Login with blank username and password","chromium","2026-03-25","broken","2026-03-25","Login Module","Loginpage.spec.js","",""
"","30057","Forgot Password with invalid username","webkit","2026-03-25","broken","2026-03-25","Forgot Password Module","ForgetPassword.spec.js","",""
"","30078","Forgot Password with invalid username","firefox","2026-03-25","broken","2026-03-25","Forgot Password Module","ForgetPassword.spec.js","",""
"","35018","Login with invalid username","chromium","2026-03-25","broken","2026-03-25","Login Module","Loginpage.spec.js","",""
"","35026","Valid login","chromium","2026-03-25","broken","2026-03-25","Login Module","Loginpage.spec.js","",""
"","35026","Login with invalid password","chromium","2026-03-25","broken","2026-03-25","Login Module","Loginpage.spec.js","",""
"","30063","Login with blank username and password","webkit","2026-03-25","broken","2026-03-25","Login Module","Loginpage.spec.js","",""
"","30083","Login with invalid password","firefox","2026-03-25","broken","2026-03-25","Login Module","Loginpage.spec.js","",""
"","30060","Login with invalid username","webkit","2026-03-25","broken","2026-03-25","Login Module","Loginpage.spec.js","",""
"","30083","Login with invalid username","firefox","2026-03-25","broken","2026-03-25","Login Module","Loginpage.spec.js","",""
